benchmark,run,result
quadratic,baseline,785
quadratic,tdce_only,783
quadratic,lvn_only,785
quadratic,lvn_tdce,500
primes-between,baseline,574100
primes-between,tdce_only,574100
primes-between,lvn_only,574100
primes-between,lvn_tdce,574100
orders,baseline,5352
orders,tdce_only,5352
orders,lvn_only,5352
orders,lvn_tdce,5352
palindrome,baseline,298
palindrome,tdce_only,298
palindrome,lvn_only,298
palindrome,lvn_tdce,298
totient,baseline,253
totient,tdce_only,253
totient,lvn_only,253
totient,lvn_tdce,253
relative-primes,baseline,1923
relative-primes,tdce_only,1914
relative-primes,lvn_only,1923
relative-primes,lvn_tdce,1097
hanoi,baseline,99
hanoi,tdce_only,99
hanoi,lvn_only,99
hanoi,lvn_tdce,99
check-primes,baseline,8468
check-primes,tdce_only,8419
check-primes,lvn_only,8468
check-primes,lvn_tdce,4238
sum-sq-diff,baseline,3038
sum-sq-diff,tdce_only,3036
sum-sq-diff,lvn_only,3038
sum-sq-diff,lvn_tdce,1719
fact,baseline,229
fact,tdce_only,228
fact,lvn_only,229
fact,lvn_tdce,167
loopfact,baseline,116
loopfact,tdce_only,115
loopfact,lvn_only,116
loopfact,lvn_tdce,79
recfact,baseline,104
recfact,tdce_only,103
recfact,lvn_only,104
recfact,lvn_tdce,63
factors,baseline,72
factors,tdce_only,72
factors,lvn_only,72
factors,lvn_tdce,72
perfect,baseline,232
perfect,tdce_only,232
perfect,lvn_only,232
perfect,lvn_tdce,232
bitshift,baseline,167
bitshift,tdce_only,167
bitshift,lvn_only,167
bitshift,lvn_tdce,94
digital-root,baseline,247
digital-root,tdce_only,247
digital-root,lvn_only,247
digital-root,lvn_tdce,247
up-arrow,baseline,252
up-arrow,tdce_only,252
up-arrow,lvn_only,252
up-arrow,lvn_tdce,252
sum-divisors,baseline,159
sum-divisors,tdce_only,159
sum-divisors,lvn_only,159
sum-divisors,lvn_tdce,159
ackermann,baseline,1464231
ackermann,tdce_only,1464231
ackermann,lvn_only,1464231
ackermann,lvn_tdce,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,tdce_only,61518
pythagorean_triple,lvn_only,61518
pythagorean_triple,lvn_tdce,61518
dot-product,baseline,88
dot-product,tdce_only,88
dot-product,lvn_only,88
dot-product,lvn_tdce,88
euclid,baseline,563
euclid,tdce_only,562
euclid,lvn_only,563
euclid,lvn_tdce,271
binary-fmt,baseline,100
binary-fmt,tdce_only,100
binary-fmt,lvn_only,100
binary-fmt,lvn_tdce,100
gcd,baseline,46
gcd,tdce_only,46
gcd,lvn_only,46
gcd,lvn_tdce,46
catalan,baseline,659378
catalan,tdce_only,659378
catalan,lvn_only,659378
catalan,lvn_tdce,659378
armstrong,baseline,133
armstrong,tdce_only,130
armstrong,lvn_only,133
armstrong,lvn_tdce,130
pascals-row,baseline,146
pascals-row,tdce_only,139
pascals-row,lvn_only,146
pascals-row,lvn_tdce,64
collatz,baseline,169
collatz,tdce_only,169
collatz,lvn_only,169
collatz,lvn_tdce,169
sum-bits,baseline,73
sum-bits,tdce_only,73
sum-bits,lvn_only,73
sum-bits,lvn_tdce,73
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce_only,14
rectangles-area-difference,lvn_only,14
rectangles-area-difference,lvn_tdce,14
mod_inv,baseline,558
mod_inv,tdce_only,555
mod_inv,lvn_only,558
mod_inv,lvn_tdce,305
reverse,baseline,46
reverse,tdce_only,46
reverse,lvn_only,46
reverse,lvn_tdce,39
fizz-buzz,baseline,3652
fizz-buzz,tdce_only,3552
fizz-buzz,lvn_only,3652
fizz-buzz,lvn_tdce,1998
bitwise-ops,baseline,1690
bitwise-ops,tdce_only,1689
bitwise-ops,lvn_only,1690
bitwise-ops,lvn_tdce,1689
cholesky,baseline,3761
cholesky,tdce_only,3750
cholesky,lvn_only,3761
cholesky,lvn_tdce,3045
mat-inv,baseline,1044
mat-inv,tdce_only,1044
mat-inv,lvn_only,1044
mat-inv,lvn_tdce,1038
function_call,baseline,timeout
function_call,tdce_only,timeout
function_call,lvn_only,timeout
function_call,lvn_tdce,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,tdce_only,142
ray-sphere-intersection,lvn_only,142
ray-sphere-intersection,lvn_tdce,42
conjugate-gradient,baseline,1999
conjugate-gradient,tdce_only,1999
conjugate-gradient,lvn_only,1999
conjugate-gradient,lvn_tdce,1924
n_root,baseline,733
n_root,tdce_only,733
n_root,lvn_only,733
n_root,lvn_tdce,733
newton,baseline,217
newton,tdce_only,217
newton,lvn_only,217
newton,lvn_tdce,217
euler,baseline,1908
euler,tdce_only,1907
euler,lvn_only,1908
euler,lvn_tdce,1366
riemann,baseline,298
riemann,tdce_only,298
riemann,lvn_only,298
riemann,lvn_tdce,298
mandelbrot,baseline,2720947
mandelbrot,tdce_only,2720813
mandelbrot,lvn_only,2720947
mandelbrot,lvn_tdce,1320947
norm,baseline,505
norm,tdce_only,505
norm,lvn_only,505
norm,lvn_tdce,505
cordic,baseline,517
cordic,tdce_only,516
cordic,lvn_only,517
cordic,lvn_tdce,339
pow,baseline,36
pow,tdce_only,34
pow,lvn_only,36
pow,lvn_tdce,21
sqrt,baseline,322
sqrt,tdce_only,321
sqrt,lvn_only,322
sqrt,lvn_tdce,183
sieve,baseline,3482
sieve,tdce_only,3455
sieve,lvn_only,3482
sieve,lvn_tdce,3455
bubblesort,baseline,253
bubblesort,tdce_only,253
bubblesort,lvn_only,253
bubblesort,lvn_tdce,253
primitive-root,baseline,11029
primitive-root,tdce_only,11024
primitive-root,lvn_only,11029
primitive-root,lvn_tdce,11024
adler32,baseline,6851
adler32,tdce_only,6851
adler32,lvn_only,6851
adler32,lvn_tdce,6851
adj2csr,baseline,56629
adj2csr,tdce_only,56629
adj2csr,lvn_only,56629
adj2csr,lvn_tdce,56629
max-subarray,baseline,193
max-subarray,tdce_only,193
max-subarray,lvn_only,193
max-subarray,lvn_tdce,193
mat-mul,baseline,1990407
mat-mul,tdce_only,1990407
mat-mul,lvn_only,1990407
mat-mul,lvn_tdce,1990407
fib,baseline,121
fib,tdce_only,121
fib,lvn_only,121
fib,lvn_tdce,121
vsmul,baseline,86036
vsmul,tdce_only,86036
vsmul,lvn_only,86036
vsmul,lvn_tdce,86036
quicksort,baseline,264
quicksort,tdce_only,264
quicksort,lvn_only,264
quicksort,lvn_tdce,264
two-sum,baseline,98
two-sum,tdce_only,88
two-sum,lvn_only,98
two-sum,lvn_tdce,57
eight-queens,baseline,1006454
eight-queens,tdce_only,959702
eight-queens,lvn_only,1006454
eight-queens,lvn_tdce,959700
binary-search,baseline,78
binary-search,tdce_only,75
binary-search,lvn_only,78
binary-search,lvn_tdce,74
