benchmark,run,result
quadratic,baseline,785
quadratic,ssa,1183
primes-between,baseline,574100
primes-between,ssa,796318
orders,baseline,5352
orders,ssa,incorrect
palindrome,baseline,298
palindrome,ssa,499
totient,baseline,253
totient,ssa,500
relative-primes,baseline,1923
relative-primes,ssa,incorrect
hanoi,baseline,99
hanoi,ssa,137
check-primes,baseline,8468
check-primes,ssa,14675
sum-sq-diff,baseline,3038
sum-sq-diff,ssa,5059
fact,baseline,229
fact,ssa,230
loopfact,baseline,116
loopfact,ssa,189
recfact,baseline,104
recfact,ssa,105
factors,baseline,72
factors,ssa,121
perfect,baseline,232
perfect,ssa,392
bitshift,baseline,167
bitshift,ssa,incorrect
digital-root,baseline,247
digital-root,ssa,timeout
up-arrow,baseline,252
up-arrow,ssa,437
sum-divisors,baseline,159
sum-divisors,ssa,timeout
ackermann,baseline,1464231
ackermann,ssa,1464232
pythagorean_triple,baseline,61518
pythagorean_triple,ssa,77644
dot-product,baseline,88
dot-product,ssa,timeout
euclid,baseline,563
euclid,ssa,858
binary-fmt,baseline,100
binary-fmt,ssa,137
gcd,baseline,46
gcd,ssa,71
catalan,baseline,659378
catalan,ssa,954621
armstrong,baseline,133
armstrong,ssa,174
pascals-row,baseline,146
pascals-row,ssa,262
collatz,baseline,169
collatz,ssa,241
sum-bits,baseline,73
sum-bits,ssa,94
rectangles-area-difference,baseline,14
rectangles-area-difference,ssa,17
mod_inv,baseline,558
mod_inv,ssa,988
reverse,baseline,46
reverse,ssa,79
fizz-buzz,baseline,3652
fizz-buzz,ssa,10060
bitwise-ops,baseline,1690
bitwise-ops,ssa,2343
cholesky,baseline,3761
cholesky,ssa,7260
mat-inv,baseline,1044
mat-inv,ssa,timeout
function_call,baseline,timeout
function_call,ssa,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,ssa,143
conjugate-gradient,baseline,1999
conjugate-gradient,ssa,3603
n_root,baseline,733
n_root,ssa,1081
newton,baseline,217
newton,ssa,244
euler,baseline,1908
euler,ssa,2118
riemann,baseline,298
riemann,ssa,443
mandelbrot,baseline,2720947
mandelbrot,ssa,incorrect
norm,baseline,505
norm,ssa,763
cordic,baseline,517
cordic,ssa,3553
pow,baseline,36
pow,ssa,54
sqrt,baseline,322
sqrt,ssa,647
sieve,baseline,3482
sieve,ssa,timeout
bubblesort,baseline,253
bubblesort,ssa,311
primitive-root,baseline,11029
primitive-root,ssa,timeout
adler32,baseline,6851
adler32,ssa,timeout
adj2csr,baseline,56629
adj2csr,ssa,81166
max-subarray,baseline,193
max-subarray,ssa,260
mat-mul,baseline,1990407
mat-mul,ssa,3216789
fib,baseline,121
fib,ssa,193
vsmul,baseline,86036
vsmul,ssa,98331
quicksort,baseline,264
quicksort,ssa,timeout
two-sum,baseline,98
two-sum,ssa,143
eight-queens,baseline,1006454
eight-queens,ssa,1762880
binary-search,baseline,78
binary-search,ssa,79
